"","zip","donations","total","total_population","rate_per_1000"
"327","21032",5033,231805.08,8084,622.587827808016
"328","21033",43,1582,NA,NA
"329","21034",608,23530.29,3483,174.562159058283
"330","21035",6200,200449.85,7957,779.188136232248
"331","21036",1189,69995.87,2112,562.973484848485
"332","21037",9471,376584.149999999,21046,450.014254490164
"333","21039",9,822,NA,NA
"334","21040",2305,33320.56,24166,95.381941570802
"335","21041",132,2730.91,NA,NA
"336","21042",28455,1050627.6,41195,690.739167374681
"337","21043",20844,686790.249999998,47351,440.201896475259
"338","21044",44569,1337506.62,44256,1007.07248734635
"339","21045",30660,803755.230000001,40365,759.568933481977
"340","21046",11234,309389.199999999,15655,717.598211434047
"341","21047",2633,69101.57,12266,214.658405348117
"342","21048",2073,66157.88,10276,201.732191514208
"343","21049",1,3,NA,NA
"344","21050",3563,70752.1100000001,18123,196.601004248745
"345","21051",461,25766.14,295,1562.71186440678
"346","21052",16,551,211,75.8293838862559
"347","21053",776,14091.34,3225,240.62015503876
"348","21054",5833,159548.24,11199,520.850075899634
"349","21055",1,500,NA,NA
"350","21056",98,38413,158,620.253164556962
"351","21057",2464,65720.03,4232,582.230623818525
"352","21059",10,56,NA,NA
"353","21060",14209,173872.14,34899,407.146336571248
"354","21061",10219,168692.45,53860,189.73264017824
"355","21062",126,856.5,NA,NA
"356","21064",32,688,NA,NA
"357","21065",1,100,NA,NA
"358","21067",1,100,NA,NA
"359","21069",15,126,NA,NA
"360","21071",287,8471.13,581,493.975903614458
"361","21073",2,20,NA,NA
"362","21074",2983,55540.7,15166,196.689964394039
"363","21075",8984,224807.71,33726,266.382019806677
"364","21076",6352,235382.9,17442,364.178419905974
"365","21077",85,1464.38,276,307.971014492754
"366","21078",7808,212588.470000001,18366,425.133398671458
"367","21079",3,175,NA,NA
"368","21080",2,20,NA,NA
"369","21082",459,13343.93,656,699.69512195122
"370","21083",10,275,NA,NA
"371","21084",1638,29954.66,7603,215.441273181639
"372","21085",2745,55980.66,16055,170.974774213641
"373","21086",3,87,NA,NA
"374","21087",656,20466.26,5394,121.616611049314
"375","2109",2,105,NA,NA
"376","21090",1933,50232.64,9991,193.474126714043
"377","21092",4,74.96,NA,NA
"378","21093",22218,633944.189999997,37996,584.745762711864
"379","21094",40,17794.12,NA,NA
"380","21096",2,100,NA,NA
"381","21099",3,50,NA,NA
"382","21101",72,1499.56,NA,NA
"383","21102",3317,51923.1600000001,11787,281.411724781539
"384","21103",2,11,NA,NA
"385","21104",4210,99374.2000000001,5762,730.649080180493
"386","21105",28,267,0,Inf
"387","21106",26,1213.24,NA,NA
"388","21107",2,35,NA,NA
"389","21108",6603,220072.78,18782,351.560004259397
"390","21109",1,40.48,NA,NA
"391","21111",3969,93046.8800000003,5387,736.773714497865
"392","21112",1,25,NA,NA
"393","21113",16279,444059.96,34473,472.224639572999
"394","21114",8848,236144.47,27303,324.066952349559
"395","21115",5,108,NA,NA
"396","21116",21,1380.24,NA,NA
"397","21117",23052,657696.399999998,59301,388.728689229524
"398","21118",6,123,NA,NA
"399","21120",2596,77234.66,7095,365.891472868217
"400","21121",2,53,NA,NA
"401","21122",9609,221055.749999999,61051,157.392999295671
"402","21123",59,1086.37,NA,NA
"403","21124",3,240,NA,NA
"404","21127",7,283,NA,NA
"405","21128",1908,49255.93,13985,136.43189131212
"406","21130",7,225,156,44.8717948717949
"407","21131",2873,130327.89,7282,394.534468552595
"408","21132",185,6295.84,3232,57.240099009901
"409","21133",8682,146954.52,33299,260.728550406919
"410","21134",21,552,NA,NA
"411","21135",1,100,NA,NA
"412","21136",11483,323548.850000002,34177,335.986189542675
"413","21137",2,20,NA,NA
"414","21139",580,10016.79,NA,NA
"415","21140",1294,55152.63,3564,363.07519640853
"416","21143",3,210,NA,NA
"417","21144",11718,222529.85,35335,331.625866704401
"418","21145",1,50,NA,NA
"419","21146",13148,487095.94,27555,477.154781346398
"420","21147",16,344.63,NA,NA
"421","21149",1,7.71,NA,NA
"422","21150",45,748,NA,NA
"423","21152",1796,80268.0000000001,5462,328.817283046503
"424","21153",1329,41921.91,447,2973.15436241611
"425","21154",568,14000.14,5804,97.8635423845624
"426","21155",578,15340.34,2532,228.27804107425
"427","21156",40,1305,316,126.582278481013
"428","21157",8691,202460.44,37749,230.231264404355
"429","21158",4343,99560.21,20906,207.739404955515
"430","21160",285,5854.12,2933,97.1701329696556
"431","21161",1036,26816.3,5601,184.966970183896
"432","21162",705,11934.46,4331,162.77995843916
"433","21163",4816,171400.08,7030,685.064011379801
"434","21164",1,100,NA,NA
"435","21171",8,80,NA,NA
"436","21173",1,1000,NA,NA
"437","21174",33,228,NA,NA
"438","21176",2,55,NA,NA
"439","21200",22,110,NA,NA
"440","21201",6643,366729.620000001,17256,384.967547519703
"441","21202",6148,382084.850000001,21784,282.225486595667
"442","21203",167,7428.41,NA,NA
"443","21204",12273,511605.5,21545,569.644929217916
"444","21205",1021,23248.11,16239,62.8733296385245
"445","21206",6518,111044.22,52020,125.297962322184
"446","21207",13152,198563.1,48872,269.111147487314
"447","21208",21511,700900.869999999,35266,609.964271536324
"448","21209",26774,644100.539999995,28309,945.776961390371
"449","21210",25454,1443604.77000004,15553,1636.59744100817
"450","21211",13357,433904.27,16370,815.943799633476
"451","21212",25556,1146181.1,33431,764.440190242589
"452","21213",3715,75637.8300000001,31007,119.811655432644
"453","21214",7525,156481.400000001,21392,351.767015706806
"454","21215",10084,148706.390000001,58283,173.017861125886
"455","21216",3837,59446.78,30179,127.141389708075
"456","21217",6787,338081.319999998,33644,201.729877541315
"457","21218",31378,1018091.81,47555,659.825465250762
"458","21219",1232,28739.51,9550,129.005235602094
"459","21220",3341,75693.5500000003,41051,81.3865679276997
"460","21221",3250,65432.6,42078,77.2375112885593
"461","21222",3776,62814.89,55212,68.390929508078
"462","21223",1598,27742.83,22392,71.3647731332619
"463","21224",12042,379731.18,49332,244.101191924106
"464","21225",2446,27074.1,34363,71.1812123504933
"465","21226",636,12090.19,6247,101.808868256763
"466","21227",4190,96694.33,33589,124.743219506386
"467","21228",26381,597323.739999999,48196,547.36907627189
"468","21229",8355,157636.48,45921,181.942901940289
"469","21230",13266,623503.729999996,34274,387.057244558557
"470","21231",7981,281612.9,15854,503.40608048442
"471","21232",12,414.4,NA,NA
"472","21233",28,238,NA,NA
"473","21234",12937,250143.76,68381,189.189979672716
"474","21235",13,268,NA,NA
"475","21236",5621,122992.59,39707,141.561941219432
"476","21237",3793,79481.2000000001,30129,125.891997743038
"477","21238",13,734,NA,NA
"478","21239",11716,161538.66,30424,385.090717854326
"479","21240",14,522,0,Inf
"480","21241",1,25,NA,NA
"481","21243",10,168,NA,NA
"482","21244",9590,141657.79,36394,263.504973347255
"483","21245",19,176,NA,NA
"484","21246",26,1031,NA,NA
"485","21249",3,22,NA,NA
"486","21250",5,206,2367,2.11237853823405
"487","21251",9,134,965,9.32642487046632
"488","21252",9,120,2383,3.77675199328577
"489","21253",1,100,NA,NA
"490","21255",1,5,NA,NA
"491","21257",55,1454.5,NA,NA
"492","21261",12,135,NA,NA
"493","21262",2,45,NA,NA
"494","21265",3,1000,NA,NA
"495","21271",2,12,NA,NA
"496","21275",1,100,NA,NA
"497","21281",1,10,NA,NA
"498","21282",274,5933.99,NA,NA
"499","21284",171,3867.14,NA,NA
"500","21285",3,650,NA,NA
"501","21286",12808,415242.919999999,19849,645.2718021059
"502","21287",33,1663,NA,NA
"503","21288",1,25,NA,NA
"504","2129",2,12,NA,NA
"505","21291",3,300,NA,NA
"506","21294",2,100,NA,NA
"507","21296",15,335.5,NA,NA
"508","21297",8,122,NA,NA
"509","21298",1,100,NA,NA
"510","21299",2,105,NA,NA
"511","2130",4,163.31,NA,NA
"512","21301",12,230,NA,NA
"513","21302",15,525,NA,NA
"514","21303",10,464.66,NA,NA
"515","21304",97,1173.94,NA,NA
"516","21305",1,100,NA,NA
"517","21306",9,73,NA,NA
"518","21307",7,55,NA,NA
"519","21308",5,103,NA,NA
"520","21309",3,70,NA,NA
"521","21310",7,120.62,NA,NA
